title,url,price,location,year,mileage
"Hyundai Tucson 1,6 CRDi hibrid 48 v",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-hibrid-48-v-oglas-50987585,21.400 €,"Mursko Središće, Mursko Središće",2020,103.000 km
"Hyundai Tucson 1,7 CRDi",https://www.njuskalo.hr/auti/hyundai-tucson-1.7-crdi-oglas-51069776,16.200 €,"Varaždin, Jalkovečka",2017,125.000 km
Hyundai Tucson 1.7 DCI,https://www.njuskalo.hr/auti/hyundai-tucson-1.7-dci-oglas-47758443,8.490 €,"Oroslavje, Mokrice",2013,233.579 km
"Hyundai Tucson 1,6 CRDi Edition",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-oglas-49348564,24.800 €,"Novi Zagreb - Istok, Dugave",2022,85.491 km
"Hyundai Tucson 1,6 GDI",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-gdi-oglas-50836171,16.000 €,"Dugopolje, Dugopolje",2020,128.000 km
"Hyundai Tucson 1,6T N LINE - U SUSTAVU PDV-a",https://www.njuskalo.hr/auti/hyundai-tucson-1.6t-oglas-50672489,28.500 €,"Split, Mejaši",2022,70.000 km
"Hyundai Tucson 1,6 CRDi automatik",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-automatik-oglas-51063645,15.600 €,"Split, Kila",2019,147.000 km
Hyundai Tucson 1.6 CRDI,https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-oglas-51062843,18.500 €,"Novi Zagreb - Zapad, Odra",2020,200.100 km
"Hyundai Tucson 1,6 CRDi 48v garancija na km*",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-mild-hybrid-garancija-km-oglas-51050444,25.500 €,"Sisak, Naselje",2024,38.000 km
Hyundai Tucson PHEV 4WD Luxury N-Line,https://www.njuskalo.hr/auti/hyundai-tucson-phev-4wd-premium-plus-n-line-oglas-50304484,35.800 €,"Split, Sirobuja",2024,45.000 km
"HYUNDAI TUCSON 1.6 GDT-i 4X4,MEHANIČKI MJENJAČ, MAX.OPREMA, VLASNIK",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-gdt-4x4-gorivo-benzin-bez-start-stopa-oglas-50767027,14.950 €,"Samobor - Okolica, Rude",2017,122.000 km
"Hyundai Tucson 1.7 CRDi, PRVI VLASNIK",https://www.njuskalo.hr/auti/hyundai-tucson-1.7-crdi-oglas-50840080,14.100 €,"Osijek, Retfala",2018,155.000 km
"Hyundai Tucson 1,6 CRDi",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-oglas-50852205,18.500 €,"Zabok, Zabok",2020,101.400 km
"Hyundai Tucson 1,6 AUT. 230 KS, HIBRID, U PDV-U, JAMSTVO",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-aut-230-ks-hibrid-pdv-jamstvo-oglas-51057143,25.749 €,"Peščenica - Žitnjak, Žitnjak",2023,79.500 km
"⭐️Hyundai Tucson 1,6T Hybrid●Premium+●Automatik●HR AUTO●Leasing",https://www.njuskalo.hr/auti/hyundai-tucson-1.6t-automatik-oglas-50696471,32.500 €,"Osijek, Industrijska zona (Čepinska)",2025,
"Hyundai Tucson 1,6 GDI BENZIN,LEASING BEZ UČEŠĆA I BEZ JAMACA",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-gdi-benzin-leasing-bez-ucesca-bez-jamaca-oglas-50441850,18.990 €,"Satnica Đakovačka, Satnica Đakovačka",2019,119.478 km
Hyundai Tucson 1.7 CRDi,https://www.njuskalo.hr/auti/hyundai-tucson-1.7-crdi-oglas-50905291,12.900 €,"Petrinja, Petrinja",2017,165.000 km
"Hyundai Tucson 1,6 CRDi , Style, Automatic",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-style-automatic-oglas-50915840,17.900 €,"Split, Dujmovača",2019,134.211 km
